date,symbol,sector,setup,score,entry,stop,target,size,invested,risk_usd,reward_usd,rr,news_sentiment,confirmed_15m,outcome,outcome_date,exit_price,pnl_usd,pnl_pct
2026-06-26,PANW,XLK,Squeeze Breakout,30,304.2,271.49,385.98,9,2738,294,736,2.5,Neutral,Yes,,,,,
2026-06-26,LLY,XBI,ATH Breakout,29,1206.51,1092.25,1492.16,2,2413,229,571,2.49,Neutral,Yes,,,,,
2026-06-26,GE,XLI,ATH Breakout,27,369.0,335.72,452.2,9,3321,300,749,2.5,Neutral,Yes,,,,,
2026-06-26,CRWD,XLK,EMA20 Pullback,26,701.09,660.92,801.52,6,4207,241,603,2.5,Neutral,Yes,STOPPED,2026-07-02,660.92,-241.02,-5.73
2026-06-26,NEE,XLU,EMA20 Pullback,26,88.56,84.88,97.76,50,4428,184,460,2.5,Neutral,Yes,,,,,
2026-06-29,ROIV,XBI,ATH Breakout,33,34.73,31.14,43.7,83,2883,298,744,2.5,Neutral,Yes,,,,,
2026-06-29,LLY,XBI,ATH Breakout,32,1229.93,1119.15,1506.87,2,2460,222,554,2.5,Neutral,Yes,,,,,
2026-06-29,PANW,XLK,ATH Breakout,30,332.0,292.75,430.12,7,2324,275,687,2.5,Neutral,Yes,,,,,
2026-06-29,SOXX,SOXX,EMA20 Pullback,27,614.35,571.6,721.22,7,4300,299,748,2.5,N/A,Yes,STOPPED,2026-06-29,571.6,-299.25,-6.96
2026-06-29,GE,XLI,ATH Breakout,27,373.71,341.96,453.08,9,3363,286,714,2.5,Neutral,Yes,,,,,
2026-06-30,SMH,SMH,ATH Breakout,29,655.89,596.17,805.19,5,3279,299,747,2.5,N/A,Yes,STOPPED,2026-07-02,596.17,-298.6,-9.11
2026-06-30,ROIV,XBI,ATH Breakout,29,35.39,31.77,44.45,82,2902,297,743,2.5,Neutral,Yes,,,,,
2026-06-30,PANW,XLK,ATH Breakout,29,341.02,301.79,439.1,7,2387,275,687,2.5,Neutral,Yes,,,,,
2026-06-30,SOXX,SOXX,ATH Breakout,26,640.76,571.6,813.66,4,2563,277,692,2.5,N/A,Yes,STOPPED,2026-07-02,571.6,-276.64,-10.79
2026-06-30,LLY,XBI,ATH Breakout,26,1199.43,1088.01,1477.98,2,2399,223,557,2.5,Neutral,No,,,,,
2026-07-01,V,XLF,ATH Breakout,28,351.08,328.8,406.78,12,4213,267,668,2.5,Neutral,Yes,,,,,
2026-07-01,LLY,XBI,EMA20 Pullback,28,1191.74,1079.22,1473.04,2,2383,225,563,2.5,Neutral,Yes,,,,,
2026-07-01,FTNT,XLK,ATH Breakout,26,158.98,141.19,203.47,16,2544,285,712,2.5,Neutral,Yes,,,,,
2026-07-01,PANW,XLK,ATH Breakout,26,352.04,311.78,452.7,7,2464,282,705,2.5,Neutral,Yes,,,,,
2026-07-01,GE,XLI,ATH Breakout,24,374.94,347.77,442.87,11,4124,299,747,2.5,Neutral,Yes,,,,,
2026-07-02,RTX,ITA,Trend Continuation,27,199.1,184.88,234.67,21,4181,299,747,2.5,Neutral,Yes,,,,,
2026-07-02,LLY,XBI,ATH Breakout,27,1211.34,1096.08,1499.48,2,2423,231,576,2.49,Neutral,Yes,,,,,
2026-07-02,ROIV,XBI,ATH Breakout,26,35.13,31.57,44.03,84,2951,299,748,2.5,Neutral,Yes,,,,,
2026-07-02,V,XLF,ATH Breakout,26,361.58,338.22,419.97,12,4339,280,701,2.5,Neutral,No,,,,,
2026-07-02,GD,ITA,ATH Breakout,26,373.45,348.23,436.5,11,4108,277,694,2.51,Neutral,Yes,,,,,
2026-07-02,MA,XLF,Trend Continuation,27,539.39,503.47,629.2,8,4315,287,718,2.5,Neutral,Yes,,,,,
